case_id,start_time,end_time,direction,assigned_family,why_assigned,start_description,end_description,notes
14,2023-11-05 16:00,2023-11-06 16:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие в середине диапазона или против направленного края; быстрого продолжения 2 из 3 следующих свечей нет,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=7.57%; duration=7 bars; body_vs_prev10=1.06; close_pos=0.47
15,2023-11-18 12:00,2023-11-19 16:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=6.97%; duration=8 bars; body_vs_prev10=1.36; close_pos=0.98
16,2023-08-16 20:00,2023-08-17 20:00,DOWN,F5,прототип группы,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; быстрого продолжения 2 из 3 следующих свечей нет","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=7.21%; duration=7 bars; body_vs_prev10=0.10; close_pos=0.91
17,2023-12-21 00:00,2023-12-21 20:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=7.72%; duration=6 bars; body_vs_prev10=0.59; close_pos=0.73
19,2023-07-14 12:00,2023-07-15 16:00,DOWN,F6,прототип группы,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна есть продолжение,abs_return=6.21%; duration=8 bars; body_vs_prev10=0.42; close_pos=0.43
21,2023-08-22 20:00,2023-08-24 00:00,UP,F2,похож на прототип 2: large_start_but_no_immediate_followthrough; directional_mid_close_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=6.04%; duration=8 bars; body_vs_prev10=2.13; close_pos=0.89
22,2023-10-25 00:00,2023-10-26 04:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=5.84%; duration=8 bars; body_vs_prev10=0.28; close_pos=0.28
23,2023-12-15 00:00,2023-12-15 20:00,DOWN,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=6.62%; duration=6 bars; body_vs_prev10=0.35; close_pos=0.17
24,2023-11-08 04:00,2023-11-09 08:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; быстрого продолжения 2 из 3 следующих свечей нет",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=5.41%; duration=8 bars; body_vs_prev10=0.26; close_pos=0.62
25,2023-09-30 16:00,2023-10-01 20:00,UP,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=5.14%; duration=8 bars; body_vs_prev10=0.47; close_pos=0.58
26,2023-11-26 08:00,2023-11-27 12:00,DOWN,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=5.14%; duration=8 bars; body_vs_prev10=1.16; close_pos=0.21
27,2023-09-10 12:00,2023-09-11 16:00,DOWN,F2,похож на прототип 2: large_start_but_no_immediate_followthrough; directional_edge_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие в середине диапазона или против направленного края; быстрого продолжения 2 из 3 следующих свечей нет",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.92%; duration=8 bars; body_vs_prev10=2.47; close_pos=0.40
29,2023-08-02 00:00,2023-08-03 04:00,DOWN,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.83%; duration=8 bars; body_vs_prev10=1.38; close_pos=0.00
31,2023-10-20 08:00,2023-10-21 12:00,UP,F4,похож на прототип 9: large_start_but_mid_close; directional_edge_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но закрытие не у направленного края; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.72%; duration=8 bars; body_vs_prev10=1.50; close_pos=0.38
32,2023-07-17 04:00,2023-07-18 08:00,DOWN,F1,похож на прототип 1: small_start; directional_edge_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.59%; duration=8 bars; body_vs_prev10=0.57; close_pos=0.20
33,2023-07-04 12:00,2023-07-05 12:00,DOWN,F1,похож на прототип 1: medium_start; directional_mid_close_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие в середине диапазона или против направленного края; быстрого продолжения 2 из 3 следующих свечей нет,"окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=4.79%; duration=7 bars; body_vs_prev10=1.39; close_pos=0.32
34,2023-12-19 04:00,2023-12-20 00:00,DOWN,F5,похож на прототип 16: small_start; counter_body_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей",окончание на встречной свече внутри выбранного окна; после окна появляется пауза или встречное движение,abs_return=5.16%; duration=6 bars; body_vs_prev10=0.21; close_pos=0.25
36,2023-08-31 12:00,2023-09-01 16:00,DOWN,F2,похож на прототип 2: large_start_but_no_immediate_followthrough; directional_mid_close_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=4.34%; duration=8 bars; body_vs_prev10=3.75; close_pos=0.27
38,2023-07-23 08:00,2023-07-24 12:00,DOWN,F1,похож на прототип 1: medium_start; directional_mid_close_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет,"окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=4.24%; duration=8 bars; body_vs_prev10=0.91; close_pos=0.10
39,2023-12-03 16:00,2023-12-04 20:00,UP,F3,похож на прототип 8: opposite_or_neutral_start; directional_edge_end/pause_or_reversal_after,стартовая свеча не поддерживает итоговое направление или нейтральна; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.22%; duration=8 bars; body_vs_prev10=0.19; close_pos=0.51
41,2023-07-31 00:00,2023-08-01 00:00,DOWN,F5,похож на прототип 16: small_start; directional_mid_close_end/pause_or_reversal_after,"мягкий старт: стартовая свеча направлена, но мала относительно предыдущих 10 свечей; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей","окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=4.47%; duration=7 bars; body_vs_prev10=0.36; close_pos=0.24
42,2023-09-28 08:00,2023-09-29 12:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=4.04%; duration=8 bars; body_vs_prev10=1.40; close_pos=0.71
43,2023-08-29 20:00,2023-08-31 00:00,DOWN,F1,похож на прототип 1: medium_start; directional_mid_close_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,"окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=4.03%; duration=8 bars; body_vs_prev10=0.99; close_pos=0.21
44,2023-10-27 08:00,2023-10-28 00:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/pause_or_reversal_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет,окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=5.04%; duration=5 bars; body_vs_prev10=0.84; close_pos=0.73
45,2023-08-15 04:00,2023-08-16 08:00,DOWN,F3,похож на прототип 8: opposite_or_neutral_start; directional_mid_close_end/pause_or_reversal_after,стартовая свеча не поддерживает итоговое направление или нейтральна; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей,"окончание на свече в сторону движения, но закрытие не у сильного края; после окна появляется пауза или встречное движение",abs_return=3.97%; duration=8 bars; body_vs_prev10=0.56; close_pos=1.00
47,2023-07-02 20:00,2023-07-04 00:00,UP,F4,похож на прототип 9: large_start_but_mid_close; directional_edge_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но закрытие не у направленного края; закрытие в середине диапазона или против направленного края; есть быстрое продолжение 2 из 3 следующих свечей",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=3.63%; duration=8 bars; body_vs_prev10=1.86; close_pos=0.66
48,2023-09-18 08:00,2023-09-19 12:00,UP,F2,похож на прототип 2: large_start_but_no_immediate_followthrough; directional_edge_end/pause_or_reversal_after,"крупная направленная стартовая свеча есть, но продолжение появляется не сразу; закрытие близко к стороне движения; быстрого продолжения 2 из 3 следующих свечей нет",окончание на свече в сторону движения с закрытием у направленного края; после окна появляется пауза или встречное движение,abs_return=3.59%; duration=8 bars; body_vs_prev10=4.35; close_pos=0.89
49,2023-07-07 08:00,2023-07-08 12:00,UP,F1,похож на прототип 1: medium_start; directional_edge_end/extension_after,умеренный направленный старт без большой стартовой свечи; закрытие близко к стороне движения; есть быстрое продолжение 2 из 3 следующих свечей,окончание на свече в сторону движения с закрытием у направленного края; после окна есть продолжение,abs_return=3.44%; duration=8 bars; body_vs_prev10=1.14; close_pos=0.75
